src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
172.16.0.5,192.168.50.1,62485,32823,17,2018-12-02 02:07:25,9134103.0,427.6281973172407,0.7663587765541948,0.7663587765541948,0.0,7,0,3906,0,558.0,558.0,558.0,0.0,0.0,0.0,0.0,0.0,558,558,558.0,0.0,0.0,56,0,8,7,1522350.5,3133376.0,1.0,1522993.7159711407,9134103.0,3133376.0,1.0,1522350.5,1522993.7159711407,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,558.0,0,0,3000411.0,3000305.0,3000358.0,53.0,3133373.0,3000306.0,3044697.3333333335,62703.180442108,0.0,0.0,0.0,0.0,0.0,0.0,558.0,0.0,0,7,0,3906,0
172.16.0.5,192.168.50.1,57947,64388,17,2018-12-02 02:07:25,18026194.0,433.3693512895734,0.7766475829562247,0.7766475829562247,0.0,14,0,7812,0,558.0,558.0,558.0,0.0,0.0,0.0,0.0,0.0,558,558,558.0,0.0,0.0,112,0,8,14,1386630.3076923077,3006315.0,2.0,1497728.8077543064,18026194.0,3006315.0,2.0,1386630.3076923077,1497728.8077543064,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,558.0,0,0,3006313.0,3.0,2503722.8333333335,1119697.9192785907,3006312.0,3003539.0,3004359.1666666665,942.0149355975673,0.0,0.0,0.0,0.0,0.0,0.0,558.0,0.0,0,14,0,7812,0
172.16.0.5,192.168.50.1,62921,52115,17,2018-12-02 02:07:25,3.0,372000000.0,666666.6666666666,666666.6666666666,0.0,2,0,1116,0,558.0,558.0,558.0,0.0,0.0,0.0,0.0,0.0,558,558,558.0,0.0,0.0,16,0,8,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,558.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,558.0,0.0,0,2,0,1116,0
172.16.0.5,192.168.50.1,62490,28908,17,2018-12-02 02:07:25,18001026.0,433.97526340998564,0.7777334469713004,0.7777334469713004,0.0,14,0,7812,0,558.0,558.0,558.0,0.0,0.0,0.0,0.0,0.0,558,558,558.0,0.0,0.0,112,0,8,14,1384694.3076923077,3000849.0,2.0,1495637.5675211293,18001026.0,3000849.0,2.0,1384694.3076923077,1495637.5675211293,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,558.0,0,0,3000847.0,3.0,2500140.5,1118095.525469947,3000846.0,2999928.0,3000164.5,316.34198267065346,0.0,0.0,0.0,0.0,0.0,0.0,558.0,0.0,0,14,0,7812,0
172.16.0.5,192.168.50.1,62468,26556,17,2018-12-02 02:07:25,3000189.0,743.9531309527499,1.333249338625,1.333249338625,0.0,4,0,2232,0,558.0,558.0,558.0,0.0,0.0,0.0,0.0,0.0,558,558,558.0,0.0,0.0,32,0,8,4,1000063.0,3000184.0,2.0,1414299.1222936776,3000189.0,3000184.0,2.0,1000063.0,1414299.1222936776,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,558.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,558.0,0.0,0,4,0,2232,0
172.16.0.5,192.168.50.1,62524,29509,17,2018-12-02 02:07:25,18001782.0,433.95703825321294,0.7777007854000232,0.7777007854000232,0.0,14,0,7812,0,558.0,558.0,558.0,0.0,0.0,0.0,0.0,0.0,558,558,558.0,0.0,0.0,112,0,8,14,1384752.4615384615,3003626.0,3.0,1495701.2805494703,18001782.0,3003626.0,3.0,1384752.4615384615,1495701.2805494703,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,558.0,0,0,3003623.0,3.0,2500155.8333333335,1118105.4140969024,3003623.0,2995958.0,3000290.1666666665,2632.5753814257414,0.0,0.0,0.0,0.0,0.0,0.0,558.0,0.0,0,14,0,7812,0
172.16.0.5,192.168.50.1,62472,11878,17,2018-12-02 02:07:25,17999771.0,434.00552151469043,0.777787672965395,0.777787672965395,0.0,14,0,7812,0,558.0,558.0,558.0,0.0,0.0,0.0,0.0,0.0,558,558,558.0,0.0,0.0,112,0,8,14,1384597.7692307692,3000167.0,2.0,1495533.4343451941,17999771.0,3000167.0,2.0,1384597.7692307692,1495533.4343451944,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,558.0,0,0,3000164.0,2.0,2499967.3333333335,1118018.4893947665,3000164.0,2999869.0,2999955.6666666665,95.71079121789536,0.0,0.0,0.0,0.0,0.0,0.0,558.0,0.0,0,14,0,7812,0
172.16.0.5,192.168.50.1,62599,46616,17,2018-12-02 02:07:25,18036077.0,433.13188339127186,0.7762220132460069,0.7762220132460069,0.0,14,0,7812,0,558.0,558.0,558.0,0.0,0.0,0.0,0.0,0.0,558,558,558.0,0.0,0.0,112,0,8,14,1387390.5384615385,3035950.0,2.0,1498577.8068497332,18036077.0,3035950.0,2.0,1387390.5384615385,1498577.8068497332,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,558.0,0,0,3035947.0,3.0,2505645.8333333335,1120636.8853469614,3035947.0,2997944.0,3006006.6666666665,13445.258528153667,0.0,0.0,0.0,0.0,0.0,0.0,558.0,0.0,0,14,0,7812,0
172.16.0.5,192.168.50.1,30660,4663,17,2018-12-02 02:07:25,3004124.0,742.9786520130327,1.331502960596833,1.331502960596833,0.0,4,0,2232,0,558.0,558.0,558.0,0.0,0.0,0.0,0.0,0.0,558,558,558.0,0.0,0.0,32,0,8,4,1001374.6666666666,3004119.0,2.0,1416154.09908299,3004124.0,3004119.0,2.0,1001374.6666666666,1416154.0990829903,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,558.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,558.0,0.0,0,4,0,2232,0
172.16.0.5,192.168.50.1,62542,55703,17,2018-12-02 02:07:25,3.0,372000000.0,666666.6666666666,666666.6666666666,0.0,2,0,1116,0,558.0,558.0,558.0,0.0,0.0,0.0,0.0,0.0,558,558,558.0,0.0,0.0,16,0,8,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,558.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,558.0,0.0,0,2,0,1116,0
